GeneID	GGACP	GGACS	GGACT	GGACU	GGAXP	GGAXS	GGAXT	GGAXU	GGAXW	GGAXX	GGAXY	GGAXZ
gene_4937	0	0	0	55	18	24	19	48	86	45	42	59
gene_4938	0	0	0	156	60	39	8	39	37	21	23	39
gene_4939	0	0	0	32	23	14	5	10	25	15	15	35
gene_494	0	0	0	11	1	3	4	4	13	2	11	8
gene_4940	0	0	0	6	2	5	0	1	3	0	0	1
gene_4941	0	0	0	52	24	10	20	20	56	24	25	30
gene_4942	0	0	0	5	3	1	1	3	5	1	1	6
gene_4943	0	0	0	1012	648	304	90	113	374	128	117	256
gene_4944	0	0	0	1	1	2	0	0	3	0	0	0
gene_4945	0	0	0	9	9	6	3	9	12	7	5	12
gene_4946	0	0	0	2	1	1	0	0	0	0	0	0
gene_4947	0	0	0	1	1	1	1	0	1	0	0	3
gene_4948	0	0	0	0	0	0	0	0	0	0	0	0
gene_4949	0	0	0	1	3	0	0	0	0	2	2	0
gene_495	0	0	0	4	5	0	3	5	8	6	9	6
gene_4950	0	0	0	0	0	0	0	0	0	0	0	0
gene_4951	0	0	0	0	0	0	0	0	0	0	0	0
gene_4952	0	0	0	569	355	262	243	410	1060	424	479	841
gene_4953	0	0	0	7	5	3	7	29	33	14	63	81
gene_4954	0	0	0	0	0	0	0	0	0	0	0	1
gene_4955	0	0	0	57	37	14	11	20	40	19	19	31
gene_4956	0	0	0	3	0	1	0	0	5	0	0	3
gene_4957	0	0	0	0	0	0	0	0	0	0	0	0
gene_4958	0	0	0	161	50	56	52	54	58	51	54	66
gene_4959	0	0	0	8	10	0	2	7	10	4	6	6
gene_496	0	0	0	46	32	38	15	25	56	32	16	42
gene_4960	0	0	0	68	50	18	13	25	48	27	25	27
gene_4961	0	0	0	180	34	27	8	17	52	19	17	34
gene_4962	0	0	0	7	2	2	0	4	6	1	8	6
gene_4963	0	0	0	25	11	10	4	7	16	3	6	11
gene_4964	0	0	0	23	18	5	4	4	6	8	6	12
gene_4965	0	0	0	5	3	5	3	4	9	1	4	9
gene_4966	0	0	0	11	5	2	2	7	21	2	3	9
gene_4967	0	0	0	8	1	3	1	2	2	0	1	2
gene_4968	0	0	0	79	22	14	15	25	32	11	7	26
gene_4969	0	0	0	0	0	0	0	0	0	0	0	0
gene_497	0	0	0	24	25	16	7	53	24	25	23	53
gene_4970	0	0	0	11	5	5	0	4	11	6	10	10
gene_4971	0	0	0	5	2	3	1	3	4	1	0	5
gene_4972	0	0	0	63	26	22	32	16	62	37	19	43
gene_4973	0	0	0	11	9	2	1	6	6	5	4	3
gene_4974	0	0	0	17	8	10	8	7	10	12	9	16
gene_4975	0	0	0	1	1	1	3	0	1	2	1	1
gene_4976	0	0	0	13	17	24	8	14	28	7	12	18
gene_4977	0	0	0	5	4	8	4	2	8	3	3	9
gene_4978	0	0	0	11	9	4	7	13	11	7	12	15
gene_4979	0	0	0	2	1	0	0	4	2	2	3	5
gene_498	0	0	0	2	7	3	1	1	3	2	4	0
gene_4980	0	0	0	24	11	5	6	10	17	14	8	20
gene_4981	0	0	0	42	20	17	13	9	17	6	10	26
gene_4982	0	0	0	0	0	1	0	2	1	3	0	2
gene_4983	0	0	0	0	0	0	0	0	0	0	0	0
gene_4984	0	0	0	8	6	4	0	6	6	1	1	2
gene_4985	0	0	0	0	2	0	0	4	2	0	5	0
gene_4986	0	0	0	0	0	0	0	0	0	0	0	0
gene_4987	0	0	0	2	4	2	2	1	3	1	0	0
gene_4988	0	0	0	38	35	14	10	9	14	5	8	18
gene_4989	0	0	0	29	22	8	1	1	13	12	2	2
gene_499	0	0	0	10	11	12	4	4	6	0	2	9
gene_4990	0	0	0	2	2	2	5	3	7	6	0	4
gene_4991	0	0	0	49	18	22	29	41	68	31	33	74
gene_4992	0	0	0	12	6	14	3	1	10	2	6	11
gene_4993	0	0	0	10	6	3	6	16	11	5	9	20
gene_4994	0	0	0	53	20	12	11	11	19	20	20	16
gene_4995	0	0	0	43	30	12	8	25	30	17	10	19
gene_4996	0	0	0	14	9	6	5	11	10	7	3	10
gene_4997	0	0	0	62	30	20	13	36	54	23	20	32
gene_4998	0	0	0	4	1	1	1	1	7	2	1	8
gene_4999	0	0	0	2	0	1	0	1	1	0	0	1
gene_5	1	0	0	41	11	18	28	39	77	24	38	47
gene_50	0	0	0	9	1	2	1	8	11	6	3	18
gene_500	8	2	0	711	404	164	41	87	176	53	76	124
gene_5000	0	0	0	2	3	5	1	0	5	1	1	3
gene_5001	0	0	0	32	20	7	8	12	32	7	6	14
gene_5002	0	0	0	15	17	8	2	4	3	0	3	1
gene_5003	0	0	0	0	0	0	0	0	0	0	0	1
gene_5004	0	0	0	0	1	0	0	0	0	0	1	0
gene_5005	0	0	0	11	10	2	0	0	6	3	5	10
gene_5006	0	0	0	0	0	0	0	0	0	0	0	0
gene_5007	0	0	0	33	11	7	7	5	11	3	2	8
gene_5008	0	0	0	69	29	22	13	35	62	21	56	58
gene_5009	0	0	0	2	3	2	3	2	5	2	5	4
gene_501	0	0	0	26	13	11	9	17	27	10	25	21
gene_5010	0	0	0	52	33	27	22	20	66	24	17	40
gene_5011	0	0	0	0	0	0	0	5	0	0	1	1
gene_5012	0	0	0	3	0	1	0	0	6	0	0	0
gene_5013	0	0	0	47	19	17	17	17	56	23	20	28
gene_5014	0	0	0	28	20	18	4	11	22	6	4	22
gene_5015	0	0	0	10	3	1	0	0	3	0	2	1
gene_5016	0	0	0	26	16	7	0	6	13	15	5	10
gene_5017	0	0	0	92	48	21	9	22	28	10	6	18
gene_5018	0	0	0	43	27	8	8	38	27	41	34	65
gene_5019	0	0	0	18	14	19	3	16	26	17	11	19
gene_502	0	0	0	3	1	3	3	4	3	12	6	3
gene_5020	0	0	0	37	22	19	11	14	53	22	13	41
gene_5021	0	0	0	46	30	13	10	27	19	17	21	44
gene_5022	0	0	0	163	133	98	17	19	56	23	8	32
gene_5023	0	0	0	159	123	49	25	45	64	28	23	52
gene_5024	0	0	0	32	20	19	8	17	62	9	14	21
gene_5025	0	0	0	5	3	2	1	5	3	2	5	0
gene_5026	0	0	0	15	11	3	12	3	11	12	2	8
gene_5027	0	0	0	0	0	0	0	0	0	0	0	0
gene_5028	0	0	0	1	1	1	0	2	0	1	0	0
gene_5029	0	0	0	58	42	17	18	25	33	27	20	29
gene_503	0	0	0	3	3	3	0	9	13	0	2	10
gene_5030	0	0	0	4	3	2	3	3	2	7	3	6
gene_5031	0	0	0	1	4	1	2	17	4	9	6	9
gene_5032	0	0	0	60	43	43	18	23	60	15	7	42
gene_5033	0	0	0	3	5	7	4	1	12	0	3	2
gene_5034	0	0	0	5	3	1	2	3	6	9	8	4
gene_5035	0	0	0	0	2	0	0	0	0	0	0	0
gene_5036	0	0	0	0	0	0	0	0	1	0	0	0
gene_5037	0	0	0	0	0	0	0	0	0	0	0	0
gene_5038	0	0	0	3	2	1	0	1	2	3	1	3
gene_5039	0	0	0	7	3	2	0	1	3	0	2	1
gene_504	0	0	0	38	12	8	5	15	18	8	3	24
gene_5040	0	0	0	11	4	12	6	9	21	6	10	13
gene_5041	0	0	0	88	56	28	8	21	35	4	28	27
gene_5042	0	0	0	16	21	6	4	4	9	6	6	8
gene_5043	0	0	0	2	5	3	0	2	1	0	3	3
gene_5044	0	0	0	22	15	9	3	10	26	4	6	14
gene_5045	0	0	0	1	0	2	1	4	3	0	2	3
gene_5046	0	0	0	5	4	0	0	1	7	0	7	2
gene_5047	0	0	0	5	3	0	0	4	3	2	1	8
gene_5048	0	0	0	127	68	38	25	26	55	34	33	58
gene_5049	0	0	0	7	1	0	0	0	2	0	3	9
gene_505	0	0	0	10	7	5	7	10	46	25	20	18
gene_5050	0	0	0	18	9	18	0	8	3	5	4	9
gene_5051	0	0	0	0	0	0	0	0	0	0	0	2
gene_5052	0	0	0	6	15	8	2	8	7	4	10	2
gene_5053	0	0	0	3	12	3	3	3	3	6	0	0
gene_5054	0	0	0	0	1	0	1	0	1	0	0	0
gene_5055	0	0	0	0	0	0	0	0	1	1	2	0
gene_5056	0	0	0	0	0	0	3	3	2	3	3	1
gene_5057	0	0	0	9	4	0	4	8	7	5	5	3
gene_5058	0	0	0	3	1	1	2	2	5	1	2	3
gene_5059	0	0	0	102	51	34	20	35	75	30	18	48
gene_506	0	0	0	41	27	9	38	26	72	47	26	44
gene_5060	0	0	0	12	12	9	6	6	11	4	9	7
gene_5061	0	0	0	52	29	19	9	13	31	12	13	34
gene_5062	0	0	0	82	76	38	13	16	34	19	22	49
gene_5063	0	0	0	51	15	38	29	66	127	36	34	70
gene_5064	0	0	0	0	0	0	0	0	0	0	0	0
gene_5065	0	0	0	6	7	0	2	8	12	2	4	2
gene_5066	0	0	0	0	0	0	0	0	0	0	0	0
gene_5067	0	0	0	99	52	40	23	44	46	44	18	45
gene_5068	0	0	0	7	8	5	4	3	12	6	4	7
gene_5069	0	0	0	205	143	51	12	26	67	44	33	52
gene_507	0	0	0	2	1	1	0	1	3	0	0	3
gene_5070	0	0	0	109	43	35	42	63	143	72	56	101
gene_5071	0	0	0	12	14	1	4	11	14	8	3	13
gene_5072	0	0	0	3	0	0	0	0	0	0	0	0
gene_5073	0	0	0	1	0	1	1	2	0	0	0	0
gene_5074	0	0	0	45	18	10	22	28	50	29	17	36
gene_5075	1	0	0	204	123	93	31	68	126	71	67	124
gene_5076	0	0	0	59	31	26	13	25	36	14	13	35
gene_5077	0	0	0	0	3	0	0	1	0	0	0	2
gene_5078	0	0	0	2	3	4	1	3	0	2	0	3
gene_5079	0	0	0	12	2	4	3	4	15	7	8	13
gene_508	0	0	0	8	5	9	3	14	53	12	14	29
gene_5080	0	0	0	15	6	2	2	10	3	1	6	14
gene_5081	0	0	0	1	0	1	0	0	0	0	0	0
gene_5082	0	0	0	47	40	19	5	9	39	17	8	35
gene_5083	0	0	0	3	11	1	1	10	5	1	15	4
gene_5084	0	0	0	177	85	30	137	233	354	65	376	398
gene_5085	0	0	0	0	0	0	0	0	0	0	0	0
gene_5086	0	2	0	92	59	43	12	20	64	14	15	21
