GeneID	GCWZC	GCWZG	GCWZH	GCWZN	GCWZO	GCWZP	GCWZS	GCWZT	GCWZU	GCWZW	GCWZX
gene_5890	0	0	0	60	62	14	17	44	27	17	69
gene_5891	0	0	0	0	0	0	0	0	0	0	0
gene_5892	0	0	0	5	2	0	1	0	0	0	0
gene_5893	0	0	0	0	0	0	0	0	1	1	0
gene_5894	0	0	0	83	47	17	15	28	33	16	60
gene_5895	0	0	0	0	0	0	0	0	0	0	0
gene_5896	0	0	0	30	16	9	2	9	5	5	18
gene_5897	0	0	0	3	0	1	4	1	3	0	7
gene_5898	0	0	0	36	41	18	12	19	4	5	52
gene_5899	1	0	0	35	20	7	10	9	15	14	30
gene_59	0	0	0	1	4	10	0	5	2	1	4
gene_590	0	0	0	33	28	10	11	15	5	2	18
gene_5900	0	0	0	9	8	5	4	2	4	4	7
gene_5901	0	0	0	11	13	1	1	1	6	0	2
gene_5902	0	0	0	36	19	16	16	17	15	8	35
gene_5903	0	0	0	1	0	0	0	0	0	0	0
gene_5904	0	0	0	22	23	9	7	11	15	8	12
gene_5905	0	0	0	15	10	3	0	4	4	4	14
gene_5906	0	0	0	888	371	101	96	143	194	86	232
gene_5907	0	0	0	52	27	18	15	13	23	8	51
gene_5908	0	0	0	10	13	6	6	4	2	3	13
gene_5909	0	0	0	15	14	0	0	1	0	1	0
gene_591	0	0	0	0	0	0	1	0	0	1	0
gene_5910	0	0	0	0	0	1	0	0	0	1	0
gene_5911	0	0	0	0	0	0	0	0	0	0	0
gene_5912	0	0	0	0	0	0	0	0	0	0	0
gene_5913	0	0	0	3	4	4	4	2	0	4	3
gene_5914	0	0	0	0	1	1	0	0	1	0	1
gene_5915	0	0	0	0	0	0	0	0	0	0	0
gene_5916	0	0	0	0	1	0	0	0	0	1	0
gene_5917	0	0	0	2	2	1	0	0	0	0	2
gene_5918	0	0	0	0	0	0	0	0	0	0	0
gene_5919	0	0	0	0	0	0	0	0	0	0	0
gene_592	0	0	0	57	46	16	12	25	47	9	33
gene_5920	0	0	0	5	6	4	0	6	5	3	4
