GeneID	GGABY	GCYUU	GCYUW	GCYUX	GCYUY	GCYUZ	GCYWA	GCYWB	GCYWC	GCYWG	GCUXP
gene_824	0	0	21	37	46	45	35	51	31	8	51
gene_8240	0	0	10	18	35	24	18	27	9	1	11
gene_8241	0	0	12	18	41	70	58	70	45	18	72
gene_8242	0	0	0	0	0	0	0	0	0	0	1
gene_8243	0	0	3	7	11	27	18	30	16	1	19
gene_8244	0	0	0	0	0	0	1	1	0	0	0
gene_8245	0	0	1	3	1	1	1	0	0	2	1
gene_8246	0	0	47	88	136	33	34	32	9	8	21
gene_8247	0	0	7	9	33	27	14	25	6	2	16
gene_8248	0	0	10	7	6	2	11	25	7	6	13
gene_8249	0	0	4	0	2	3	4	6	4	0	2
gene_825	0	0	19	17	26	21	20	21	12	0	18
gene_8250	0	0	18	33	63	41	41	47	14	18	30
gene_8251	0	0	0	0	0	0	0	0	0	0	0
gene_8252	0	0	2	2	7	6	4	7	3	0	2
gene_8253	0	0	7	23	40	25	24	53	11	3	22
gene_8254	0	0	0	0	4	3	7	6	1	1	1
gene_8255	0	0	0	3	0	2	2	4	1	1	2
gene_8256	0	0	2	8	12	7	7	15	5	1	8
gene_8257	0	0	73	91	260	117	154	198	84	23	133
gene_8258	0	0	0	0	0	3	4	5	1	0	1
gene_8259	0	0	0	0	0	0	0	0	0	0	0
gene_826	0	0	15	64	57	60	92	84	39	7	58
gene_8260	0	0	0	0	0	0	0	0	0	0	0
gene_8261	0	0	14	12	42	17	27	38	14	0	22
gene_8262	0	0	11	18	17	39	26	45	14	7	20
gene_8263	0	0	5	27	15	21	12	21	9	2	18
gene_8264	0	0	0	1	1	1	2	1	0	2	1
gene_8265	0	0	9	10	25	13	16	21	5	8	20
gene_8266	0	0	3	16	21	29	39	92	21	4	54
gene_8267	0	0	12	34	56	31	98	150	49	19	85
gene_8268	0	0	0	0	0	0	0	4	0	3	3
gene_8269	0	0	0	4	10	7	6	12	4	0	5
gene_827	0	0	4	4	10	10	3	5	1	0	10
gene_8270	0	0	8	19	24	20	10	25	12	5	19
gene_8271	0	0	42	46	82	59	57	71	21	10	48
gene_8272	0	0	5	6	4	1	6	5	0	0	2
gene_8273	0	0	0	0	0	1	0	0	0	0	0
gene_8274	0	0	1	5	7	7	42	81	6	9	16
gene_8275	0	0	0	0	1	0	0	1	0	0	2
gene_8276	0	0	0	0	0	0	0	0	0	0	0
gene_8277	0	0	0	0	0	0	0	0	0	0	0
gene_8278	0	0	2	1	10	11	10	6	6	4	4
gene_8279	0	0	5	3	12	4	4	5	7	0	8
gene_828	0	0	12	18	30	15	29	30	7	2	20
gene_8280	0	0	9	15	22	13	18	19	19	5	11
gene_8281	0	0	3	6	10	8	5	8	1	3	4
gene_8282	0	0	1	3	4	1	0	10	2	0	1
gene_8283	0	0	1	2	1	0	3	3	0	0	2
gene_8284	0	0	1	0	0	0	1	1	0	0	0
gene_8285	0	0	7	14	6	14	11	7	1	2	9
gene_8286	0	0	2	10	11	15	15	26	14	5	14
gene_8287	0	0	0	0	0	0	0	0	0	0	0
gene_8288	0	0	15	26	42	33	26	43	20	13	38
gene_8289	0	0	4	3	9	12	10	13	0	3	5
gene_829	0	0	57	79	167	86	79	132	53	26	123
gene_8290	0	0	0	1	7	1	7	2	0	0	2
gene_8291	0	0	29	39	54	19	43	39	8	4	30
gene_8292	0	0	5	11	27	22	26	24	10	6	17
gene_8293	0	0	0	0	3	0	2	1	2	0	0
gene_8294	0	0	3	1	6	3	5	3	3	0	2
gene_8295	0	0	14	30	46	35	22	43	12	2	14
gene_8296	0	0	1	3	4	0	0	0	0	0	0
gene_8297	0	0	21	33	64	42	28	55	9	1	30
gene_8298	0	0	7	3	10	6	4	7	1	1	2
gene_8299	0	0	60	103	196	139	152	189	99	21	148
gene_83	0	0	13	27	34	26	11	15	13	3	20
gene_830	0	0	0	0	0	0	0	0	0	0	0
gene_8300	0	0	1	4	4	0	4	2	0	0	3
gene_8301	0	0	3	9	13	8	8	11	6	6	8
gene_8302	0	0	3	4	8	1	6	3	2	0	6
gene_8303	3	0	20	21	54	40	39	59	12	2	26
gene_8304	0	0	10	12	19	26	28	29	7	4	18
gene_8305	0	0	27	30	68	98	132	187	72	30	92
