GeneID	GGAYX	GGAYY	GGAYZ	GGAZA	GGAZB	GGAZC	GGAZG	GGAZH	GGAZN	GGAZO
gene_2617	1	0	16	22	14	23	10	3	16	19
gene_2618	0	0	2	4	0	0	3	1	4	4
gene_2619	0	0	16	16	10	23	7	7	18	14
gene_262	0	0	204	224	167	405	155	93	211	232
gene_2620	0	0	5	4	12	8	5	6	0	15
gene_2621	0	0	1	0	4	9	1	1	5	7
gene_2622	0	0	3	1	1	4	3	3	1	2
gene_2623	0	0	69	94	49	64	30	17	46	47
gene_2624	0	0	22	24	19	36	15	12	23	20
gene_2625	0	0	0	6	2	2	3	2	5	5
gene_2626	0	0	18	34	20	45	30	5	26	39
gene_2627	0	0	3	6	3	6	7	4	11	8
gene_2628	0	0	0	1	3	3	2	1	0	4
gene_2629	0	0	10	12	2	6	5	1	6	5
gene_263	0	0	0	1	0	0	0	0	6	0
gene_2630	0	0	178	153	79	110	48	35	69	81
gene_2631	0	0	23	32	19	24	12	9	23	24
gene_2632	0	0	0	3	14	16	8	4	12	15
gene_2633	0	0	4	2	13	30	3	8	9	13
gene_2634	0	0	0	0	0	0	0	0	0	0
gene_2635	0	0	68	64	42	104	39	24	63	69
gene_2636	0	0	0	0	0	0	0	0	0	0
gene_2637	0	0	0	1	1	3	0	0	3	0
gene_2638	0	0	4	2	3	16	9	4	7	22
gene_2639	0	0	22	28	25	44	12	12	21	25
gene_264	0	0	0	0	0	0	0	0	0	0
gene_2640	0	0	0	1	0	1	2	0	4	1
gene_2641	0	0	4	11	4	9	2	5	9	3
gene_2642	0	0	57	38	19	67	29	19	24	24
gene_2643	0	0	33	18	167	337	215	44	173	127
gene_2644	0	0	2	2	3	9	2	2	4	4
gene_2645	0	0	30	31	19	41	33	22	39	32
gene_2646	0	0	0	0	0	0	0	0	0	0
gene_2647	0	0	22	6	10	28	9	7	12	14
gene_2648	0	0	17	30	2	14	10	6	9	4
gene_2649	0	0	1	4	1	1	0	2	3	2
gene_265	0	0	0	5	4	8	9	0	5	7
gene_2650	0	0	0	2	2	0	3	0	11	2
gene_2651	0	0	41	42	37	79	30	25	64	46
gene_2652	0	0	46	28	64	235	37	36	58	42
gene_2653	0	0	2	5	1	4	3	5	2	3
gene_2654	0	0	160	193	123	324	138	65	101	160
gene_2655	0	0	13	24	12	19	12	6	11	8
gene_2656	0	0	207	219	67	142	85	34	90	54
gene_2657	0	0	29	24	20	49	25	12	26	26
gene_2658	0	0	0	0	0	0	0	0	0	0
gene_2659	0	0	0	0	0	0	0	0	0	0
gene_266	0	0	0	3	1	1	4	0	1	2
gene_2660	0	0	19	28	19	29	9	8	20	19
gene_2661	0	0	0	0	0	0	0	0	0	0
gene_2662	0	0	52	42	27	103	35	14	34	35
gene_2663	0	0	2	13	5	34	3	5	3	1
gene_2664	0	0	2	1	0	0	0	0	3	0
gene_2665	0	0	40	33	11	22	11	5	5	12
gene_2666	0	0	6	11	1	2	1	0	2	3
gene_2667	0	0	0	0	0	0	0	0	0	0
gene_2668	0	0	55	93	26	81	32	13	59	52
gene_2669	0	0	109	140	48	112	67	10	42	48
gene_267	0	0	41	26	19	30	28	7	11	9
gene_2670	0	0	88	92	39	110	57	20	85	65
gene_2671	0	0	432	481	87	338	159	58	99	157
gene_2672	0	0	0	0	0	0	0	0	0	0
gene_2673	0	0	23	14	5	12	10	5	12	15
gene_2674	0	0	0	0	0	0	0	0	0	1
gene_2675	0	0	0	0	0	0	0	0	0	0
gene_2676	0	0	3	0	1	0	3	1	3	4
gene_2677	0	0	8	20	6	17	11	4	8	16
gene_2678	0	0	94	83	56	178	56	40	57	79
gene_2679	0	0	1	2	0	0	0	0	0	0
gene_268	0	0	5	3	0	2	0	3	0	0
gene_2680	0	0	1	1	0	1	4	0	17	3
gene_2681	0	0	6	3	2	6	2	0	1	1
gene_2682	0	0	4	3	7	30	21	4	59	2
gene_2683	0	0	12	8	3	11	7	2	5	6
gene_2684	0	0	0	0	0	3	3	0	0	0
gene_2685	0	0	1	2	4	6	0	0	3	0
gene_2686	0	0	0	0	0	0	0	0	0	0
gene_2687	0	0	0	1	0	1	0	0	0	0
gene_2688	0	0	18	17	2	8	9	2	13	11
gene_2689	0	0	190	207	125	255	132	61	154	116
gene_269	0	0	15	19	11	70	22	13	32	25
gene_2690	0	0	246	245	206	530	212	80	288	242
gene_2691	0	0	14	16	17	41	18	13	13	12
gene_2692	0	0	0	1	0	0	0	0	0	0
gene_2693	0	0	0	2	0	1	1	0	0	0
gene_2694	0	0	3	3	8	15	8	7	12	15
gene_2695	0	0	14	12	5	29	15	6	21	21
gene_2696	0	0	69	83	120	228	99	28	112	116
gene_2697	0	0	42	34	30	122	65	28	114	101
gene_2698	0	0	1	8	3	6	5	1	1	7
gene_2699	0	0	21	26	15	26	19	7	29	14
gene_27	0	0	14	14	7	2	0	2	3	5
gene_270	0	0	0	0	2	0	0	0	1	0
gene_2700	0	0	3	0	4	4	2	2	4	2
gene_2701	0	0	82	80	60	132	54	22	85	71
gene_2702	0	0	11	10	10	35	7	5	17	9
gene_2703	0	0	1	1	5	2	4	1	7	4
gene_2704	0	0	5	3	7	17	9	3	5	10
gene_2705	0	0	4	3	5	6	6	1	6	3
gene_2706	0	0	3	2	21	40	13	11	12	12
gene_2707	0	0	25	24	8	41	19	8	29	24
gene_2708	0	0	8	15	13	36	12	7	11	15
gene_2709	0	0	0	0	1	0	2	1	0	1
gene_271	0	0	9	7	1	7	9	3	7	3
gene_2710	0	0	17	18	12	43	29	13	17	37
gene_2711	0	0	5	3	4	10	2	2	7	3
gene_2712	0	0	15	17	10	12	9	3	16	16
gene_2713	0	0	16	28	12	35	9	9	19	11
gene_2714	0	0	157	185	90	281	96	61	83	152
gene_2715	0	0	51	53	19	43	22	8	43	18
gene_2716	0	0	5	4	7	9	2	2	7	3
gene_2717	0	0	6	3	1	10	5	1	5	8
gene_2718	0	0	28	30	11	25	8	4	12	8
gene_2719	0	0	96	100	57	148	62	29	68	79
gene_272	0	0	28	25	16	85	30	15	34	39
gene_2720	0	0	498	252	19	92	23	11	15	32
gene_2721	0	0	36	15	17	49	19	7	31	27
gene_2722	0	0	12	5	43	154	22	21	48	36
gene_2723	0	0	14	9	14	18	22	4	3	8
gene_2724	0	0	12	28	15	26	17	6	8	39
gene_2725	0	0	20	14	8	18	5	2	11	22
gene_2726	0	0	2	4	4	12	1	4	7	6
gene_2727	0	0	121	143	59	171	76	29	81	74
gene_2728	0	0	22	30	21	43	26	7	36	26
