GeneID	GGAYA	GGAYB	GGAYC	GGAYG	GGAYH	GGAYS	GGAYT	GGAYU	GGAYW	GGAYN	GGAYO	GGAYP
gene_10028	0	0	0	15	14	15	19	12	15	15	18	28
gene_10029	0	0	0	14	25	13	7	17	13	18	15	25
gene_1003	0	0	0	6	16	5	5	6	6	5	10	14
gene_10030	0	0	0	3	3	1	1	4	0	0	2	2
gene_10031	0	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	2	0	5	0	5	3	0	2	3
gene_10033	0	0	0	0	0	0	0	0	0	0	0	0
gene_10034	0	0	0	0	0	2	0	0	0	0	0	1
gene_10035	0	0	0	0	0	0	0	1	0	2	2	8
gene_10036	0	0	0	59	69	41	44	68	41	52	63	75
gene_10037	0	0	0	1	10	3	2	8	2	0	1	1
gene_10038	0	0	0	24	31	18	20	21	15	11	31	30
gene_10039	0	0	0	54	67	40	32	52	31	31	62	81
gene_1004	0	0	0	9	17	20	15	32	12	33	25	37
gene_10040	0	0	0	0	1	0	0	0	2	2	0	2
gene_10041	0	0	0	0	2	0	0	1	0	1	0	1
gene_10042	0	0	0	0	0	0	0	0	0	0	0	0
gene_10043	0	0	0	0	0	1	0	0	0	0	0	0
gene_10044	0	0	0	1	1	1	1	1	2	1	1	3
gene_10045	1	0	0	143	240	99	121	175	122	187	247	304
gene_10046	0	0	0	13	25	9	3	4	9	2	4	10
gene_10047	0	0	0	0	0	0	0	0	0	0	0	0
gene_10048	0	0	0	16	20	15	12	19	12	5	20	26
gene_10049	0	0	0	1	3	0	0	0	0	0	0	0
gene_1005	0	0	0	15	24	19	15	9	11	20	29	26
gene_10050	0	0	0	62	120	51	159	131	141	293	353	353
gene_10051	0	0	0	0	3	1	0	0	3	0	0	1
gene_10052	0	0	0	5	3	5	2	25	5	23	14	39
gene_10053	0	0	0	4	10	2	3	4	3	3	5	7
gene_10054	0	0	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	0	0	0	0	0	0	1	1	1
gene_10056	0	0	0	0	2	3	14	14	9	4	17	17
gene_10057	0	0	0	27	32	22	9	20	28	21	39	31
gene_10058	0	0	0	16	34	8	10	14	8	6	7	23
gene_10059	0	0	0	0	0	1	0	0	1	0	0	2
gene_1006	0	0	0	20	43	17	10	14	12	5	26	32
gene_10060	0	0	0	14	21	23	14	14	16	11	19	25
gene_10061	0	0	0	4	6	2	34	8	3	3	9	9
gene_10062	0	0	0	67	60	57	74	105	56	48	59	92
gene_10063	0	0	0	0	0	0	0	0	0	0	0	0
gene_10064	0	0	0	0	0	2	0	1	1	5	1	8
gene_10065	0	0	0	96	140	58	73	105	61	55	113	168
gene_10066	0	0	0	0	1	1	0	1	0	2	2	1
gene_10067	0	0	0	0	3	0	0	0	0	0	3	0
gene_10068	0	0	0	39	34	23	21	19	10	17	45	59
gene_10069	0	0	0	6	9	1	2	11	7	12	3	20
gene_1007	0	0	0	13	14	9	14	9	6	9	17	24
gene_10070	0	0	0	2	1	2	1	0	0	0	0	2
gene_10071	0	0	0	11	19	6	10	20	11	7	31	26
gene_10072	0	0	0	56	117	43	29	61	42	39	76	102
gene_10073	0	0	0	0	5	2	0	1	1	5	0	1
gene_10074	0	0	0	0	0	0	0	0	0	0	0	0
gene_10075	0	0	0	155	254	108	83	94	74	83	146	168
gene_10076	0	0	0	111	172	87	56	64	60	44	122	118
gene_10077	0	0	0	14	54	31	14	20	12	15	18	28
