GeneID	GCWZY	GCWZZ	GCXAA	GCXAB	GCXAC	GCXAG	GCXAH	GCXAN	GCXAO	GCXAP	GCXAS	GCXAT
gene_3613	0	0	0	1	0	0	0	0	0	0	0	0
gene_3614	0	0	0	0	0	0	0	0	0	0	0	0
gene_3615	0	0	0	2	5	2	0	0	0	0	1	1
gene_3616	0	0	0	7	3	0	1	3	4	1	4	0
gene_3617	0	0	0	5	8	3	0	1	2	0	1	0
gene_3618	0	0	0	1	0	0	0	0	0	0	0	0
gene_3619	0	0	0	2	1	1	1	0	0	0	2	0
gene_362	0	0	0	17	23	22	19	17	8	7	7	13
gene_3620	0	0	0	5	1	2	6	10	8	0	4	7
gene_3621	0	0	0	0	0	0	0	0	0	0	0	0
gene_3622	0	0	0	9	14	8	6	18	15	1	4	6
gene_3623	0	0	0	10	33	55	11	17	12	10	10	10
gene_3624	0	0	0	4	11	15	12	22	16	9	2	6
gene_3625	0	0	0	20	49	38	6	18	7	2	4	6
gene_3626	0	0	0	0	0	0	0	0	0	0	0	0
gene_3627	0	0	0	0	0	0	0	0	0	0	0	0
gene_3628	0	0	0	0	0	0	0	0	0	0	0	0
gene_3629	0	0	0	0	0	0	0	0	0	0	0	0
gene_363	0	0	0	74	62	87	37	72	41	29	23	47
gene_3630	0	0	0	59	54	65	31	40	45	10	20	14
gene_3631	0	0	0	1	8	15	8	9	4	5	3	3
gene_3632	0	0	0	0	3	1	1	0	0	1	1	1
gene_3633	0	0	0	0	0	0	0	0	0	0	0	0
gene_3634	0	0	0	0	0	0	0	0	0	0	0	0
gene_3635	0	0	0	21	13	28	6	23	16	7	6	8
gene_3636	0	0	0	7	11	15	0	10	8	1	2	3
gene_3637	0	0	0	1	0	1	0	2	1	0	0	1
gene_3638	0	0	0	9	20	9	3	14	4	7	6	3
gene_3639	1	0	0	193	214	175	79	200	81	65	52	68
gene_364	0	0	0	36	31	37	11	35	15	10	5	12
gene_3640	0	0	0	89	97	182	77	143	70	45	42	60
gene_3641	0	0	0	2	0	1	4	3	2	3	0	0
gene_3642	0	0	0	5	11	11	12	7	8	6	2	3
gene_3643	0	0	0	11	17	15	5	11	7	3	1	1
gene_3644	0	0	0	37	36	33	13	23	11	12	6	17
gene_3645	0	0	0	16	11	4	2	8	8	3	4	4
gene_3646	0	0	0	12	23	18	9	21	11	6	9	12
gene_3647	0	0	0	80	99	96	18	43	28	21	15	23
gene_3648	0	0	0	168	297	259	24	78	28	19	18	11
gene_3649	0	0	0	11	31	35	2	6	0	0	0	3
gene_365	0	0	0	14	22	13	5	11	14	6	3	7
gene_3650	0	0	0	35	31	27	10	23	16	6	10	6
gene_3651	0	0	0	4	0	2	0	0	0	0	0	0
gene_3652	0	0	0	0	0	0	0	0	0	0	0	0
gene_3653	0	0	0	31	12	27	4	17	10	5	7	4
gene_3654	0	0	0	3	3	1	0	4	1	1	0	4
gene_3655	0	0	0	60	181	123	25	58	32	21	17	40
gene_3656	0	0	0	6	4	9	4	6	3	2	0	2
gene_3657	0	0	0	378	396	238	91	306	167	53	72	65
gene_3658	0	0	0	0	0	0	0	0	0	0	0	0
gene_3659	0	0	0	5	11	10	4	2	5	4	2	3
gene_366	0	0	0	67	30	46	24	48	28	15	12	19
gene_3660	0	0	0	0	1	0	0	3	1	0	0	0
gene_3661	0	0	0	0	5	4	0	4	4	2	0	2
gene_3662	0	0	0	11	20	24	5	5	4	1	3	5
gene_3663	0	0	0	5	8	6	1	6	2	3	1	10
gene_3664	0	0	0	6	5	4	4	7	2	1	4	4
gene_3665	0	0	0	5	2	1	1	3	1	0	0	0
gene_3666	0	0	0	41	43	29	35	76	26	24	14	28
gene_3667	0	0	0	1	0	2	2	5	1	2	1	4
gene_3668	0	0	0	12	16	20	3	5	3	0	4	3
gene_3669	0	0	0	200	511	495	98	218	82	65	106	239
gene_367	0	0	0	4	5	0	0	2	3	0	1	3
gene_3670	0	0	0	28	44	37	15	39	25	10	14	19
gene_3671	0	0	0	1	11	4	0	1	1	3	1	1
gene_3672	0	0	0	11	9	11	3	7	5	2	1	1
gene_3673	0	0	0	0	0	0	0	0	0	0	0	0
gene_3674	0	0	0	2	2	2	2	3	4	0	0	3
gene_3675	0	0	0	2	5	12	2	8	3	0	3	2
gene_3676	0	0	0	22	30	23	7	15	14	6	5	7
gene_3677	0	0	0	3	2	3	0	2	3	0	0	0
gene_3678	0	0	0	30	31	26	25	56	28	18	25	34
gene_3679	0	0	0	4	2	2	1	0	0	0	0	0
gene_368	0	0	0	19	16	12	8	11	11	3	11	13
gene_3680	0	0	0	0	0	0	0	0	0	0	1	0
gene_3681	0	0	0	1	4	8	1	3	2	0	3	0
gene_3682	0	0	0	0	0	0	0	0	0	0	0	0
gene_3683	0	0	0	101	28	41	12	24	13	23	10	37
gene_3684	0	0	0	8	2	6	16	11	5	6	3	1
gene_3685	0	0	0	10	0	23	14	23	7	8	4	13
gene_3686	0	0	0	71	84	99	20	50	37	25	14	30
gene_3687	0	0	0	33	26	11	16	29	31	6	19	15
gene_3688	0	0	0	4	4	8	2	6	9	6	7	5
gene_3689	0	0	0	1	10	2	0	7	1	0	4	3
gene_369	0	0	0	42	51	32	15	40	24	20	15	28
gene_3690	0	0	0	4	34	22	8	8	7	3	1	6
gene_3691	0	0	0	1	3	8	0	0	1	0	0	0
gene_3692	0	0	0	1	0	1	0	0	0	0	0	0
gene_3693	0	0	0	13	26	25	33	29	25	15	8	24
