GeneID	GCUYS	GCUYT	GCUYU	GCUYW	GCUYX	GCUYY	GCUYZ	GCUZA	GCUZB	GCUYN	GCUYO
gene_8718	0	0	0	11	38	9	35	4	3	3	11
gene_8719	0	0	0	47	75	40	105	24	19	28	44
gene_872	0	0	0	1	0	0	3	0	0	3	0
gene_8720	0	0	0	6	14	11	27	5	6	6	10
gene_8721	0	0	0	0	0	0	0	0	0	0	0
gene_8722	0	0	0	7	19	18	31	12	6	20	24
gene_8723	0	0	0	3	18	3	11	9	3	8	11
gene_8724	0	0	0	25	14	8	31	9	3	14	42
gene_8725	0	0	0	9	14	8	10	6	0	4	10
gene_8726	0	0	0	19	25	21	43	13	4	10	17
gene_8727	0	0	0	37	41	5	32	11	7	12	29
gene_8728	0	0	0	27	36	24	32	7	5	9	38
gene_8729	0	0	0	33	21	36	130	30	13	26	62
gene_873	0	0	0	18	18	19	50	17	10	16	23
gene_8730	0	0	0	18	19	25	59	18	8	10	33
gene_8731	0	0	0	14	20	15	39	1	3	8	10
gene_8732	0	0	0	54	52	49	114	29	22	39	70
gene_8733	0	0	0	1	4	0	4	0	0	1	1
gene_8734	0	0	0	6	1	4	6	2	2	1	4
gene_8735	0	0	0	1	2	2	0	0	1	2	0
gene_8736	0	0	0	0	0	0	0	0	0	0	0
gene_8737	0	0	0	0	0	0	0	0	0	0	0
gene_8738	0	0	0	2	2	2	9	1	0	3	6
gene_8739	0	0	0	0	0	0	0	0	0	0	0
gene_874	0	0	0	35	70	36	71	17	5	16	60
gene_8740	0	0	0	0	0	0	0	0	0	0	0
gene_8741	0	0	0	0	0	0	0	0	0	0	0
gene_8742	0	0	0	0	0	0	0	0	0	0	0
gene_8743	0	0	0	0	0	0	0	0	0	0	0
gene_8744	0	0	0	0	0	0	0	0	0	0	0
gene_8745	0	0	0	0	0	0	0	0	0	0	0
gene_8746	0	0	0	25	64	26	45	13	10	11	39
gene_8747	0	0	0	0	0	0	0	0	0	0	0
gene_8748	0	0	0	19	22	17	27	13	7	6	16
gene_8749	0	0	0	21	26	7	31	12	5	8	18
gene_875	0	0	0	62	60	47	131	20	15	30	68
gene_8750	0	0	0	0	0	0	0	0	0	0	0
gene_8751	0	0	0	25	41	25	64	13	6	19	36
gene_8752	0	0	0	0	0	0	0	0	0	0	1
gene_8753	0	0	0	17	23	13	23	4	8	5	10
gene_8754	0	0	0	6	11	3	9	5	2	1	5
gene_8755	0	0	0	9	17	18	45	6	1	4	16
gene_8756	0	0	0	1	4	2	3	0	0	0	2
gene_8757	0	0	0	0	1	1	2	0	1	0	1
gene_8758	0	0	0	6	18	8	19	3	7	3	10
gene_8759	0	0	0	4	34	5	11	5	1	4	12
gene_876	0	0	0	18	17	23	32	7	2	5	13
gene_8760	0	0	0	45	72	30	87	21	10	23	41
gene_8761	0	0	0	44	47	39	65	20	9	15	32
gene_8762	0	0	0	1	4	1	3	2	0	0	0
gene_8763	0	0	0	6	5	13	48	6	7	13	19
gene_8764	0	0	0	29	18	30	58	18	8	7	34
gene_8765	0	0	0	34	16	7	25	5	2	8	12
gene_8766	0	0	0	16	12	10	24	7	2	7	10
gene_8767	0	0	0	7	6	1	13	4	0	2	1
gene_8768	0	0	0	67	80	30	118	28	12	15	61
gene_8769	0	0	0	0	0	0	2	0	0	0	0
gene_877	0	0	0	0	0	0	0	0	0	0	0
gene_8770	0	0	0	13	19	7	12	0	2	4	6
gene_8771	0	0	0	3	14	11	17	3	4	11	10
gene_8772	0	0	0	43	61	32	71	20	13	26	50
gene_8773	0	0	0	3	5	2	14	1	2	2	9
gene_8774	0	0	0	25	32	21	55	19	3	11	32
gene_8775	0	0	0	11	34	10	46	13	5	8	26
gene_8776	0	0	0	5	3	1	5	1	1	1	7
gene_8777	0	0	0	5	13	7	11	3	1	6	8
gene_8778	0	0	0	17	22	17	31	8	2	6	18
gene_8779	0	0	0	17	45	14	40	3	2	13	34
gene_878	0	0	0	21	41	48	84	14	12	11	47
gene_8780	0	0	0	18	24	38	55	18	7	16	35
gene_8781	0	0	0	2	1	1	5	1	0	0	1
gene_8782	0	0	0	0	0	0	0	0	0	0	0
gene_8783	0	0	0	0	0	0	0	0	0	0	0
gene_8784	0	0	0	0	0	0	0	0	0	0	0
gene_8785	0	0	0	0	0	0	1	0	0	0	0
gene_8786	0	0	0	17	23	15	25	17	3	1	20
gene_8787	0	0	0	1	4	0	3	1	0	0	3
gene_8788	0	0	0	2	2	6	18	0	2	2	12
gene_8789	0	0	0	0	0	2	0	3	0	0	0
gene_879	0	0	0	86	65	146	663	52	58	106	309
gene_8790	0	0	0	0	0	0	0	0	0	0	0
gene_8791	0	0	0	0	0	0	0	0	0	0	0
gene_8792	0	0	0	110	167	95	206	66	36	52	136
gene_8793	0	0	0	86	123	60	180	38	17	28	105
gene_8794	0	0	0	16	43	22	65	13	3	8	17
gene_8795	0	0	0	0	0	1	1	0	0	0	1
gene_8796	0	0	0	10	14	32	163	7	20	38	72
gene_8797	0	0	0	8	8	11	73	7	7	10	37
gene_8798	0	0	0	1	1	1	3	0	0	0	0
gene_8799	0	0	0	0	0	0	0	0	0	0	0
gene_88	0	0	0	9	3	0	2	0	0	1	1
gene_880	0	0	0	36	41	28	79	9	13	23	58
gene_8800	0	0	0	0	0	0	0	0	0	0	0
gene_8801	0	0	0	0	0	0	0	0	0	0	0
gene_8802	0	0	0	3	8	12	13	3	2	6	14
gene_8803	0	0	0	40	39	1	19	1	0	2	7
gene_8804	0	0	0	2	0	0	1	1	2	1	2
gene_8805	0	0	0	14	19	10	39	2	3	13	16
gene_8806	0	0	0	20	39	20	29	11	6	13	16
gene_8807	0	0	0	10	31	15	32	7	2	10	9
gene_8808	0	0	0	3	17	4	23	6	0	4	11
gene_8809	0	0	0	4	7	3	7	0	0	2	3
gene_881	0	0	0	17	34	21	31	7	4	7	33
gene_8810	0	0	0	5	4	2	10	2	1	4	5
gene_8811	0	0	0	3	2	0	0	0	0	0	0
gene_8812	0	0	0	14	16	6	29	6	1	12	6
gene_8813	0	0	0	3	2	2	6	7	1	0	7
gene_8814	0	0	0	23	34	28	84	17	8	10	29
gene_8815	0	0	0	1	3	3	2	2	1	0	5
gene_8816	0	0	0	8	32	12	35	4	4	7	10
gene_8817	0	0	0	40	100	51	115	23	17	27	56
gene_8818	0	0	0	68	86	43	129	22	15	44	75
gene_8819	0	0	0	17	26	24	33	9	2	15	25
gene_882	0	0	0	45	53	109	225	45	41	86	135
gene_8820	0	0	0	36	50	33	103	28	9	19	56
gene_8821	0	0	0	9	16	4	9	5	2	1	5
gene_8822	0	0	0	54	102	74	181	47	32	34	108
gene_8823	0	0	0	6	10	1	10	0	0	1	7
gene_8824	0	0	0	79	34	62	306	20	19	33	119
gene_8825	0	0	0	49	27	23	115	9	8	3	49
gene_8826	0	0	0	23	22	9	35	16	4	13	8
gene_8827	0	0	0	2	4	1	5	2	0	1	1
gene_8828	0	0	0	0	7	1	2	2	1	4	0
gene_8829	0	0	0	17	29	4	8	5	2	5	3
gene_883	0	0	0	2	1	1	1	0	0	0	1
gene_8830	0	0	0	12	18	27	51	21	2	2	36
gene_8831	0	0	0	6	10	1	13	4	2	1	12
gene_8832	0	0	0	16	8	2	24	3	2	11	20
gene_8833	0	0	0	176	167	135	391	93	40	82	187
gene_8834	0	0	0	64	70	32	84	15	11	24	49
gene_8835	0	0	0	149	122	52	170	40	19	32	111
gene_8836	0	0	0	2	7	4	21	8	1	0	0
gene_8837	0	0	0	0	2	0	0	1	0	0	1
gene_8838	0	0	0	38	41	27	68	13	7	22	38
gene_8839	0	0	0	0	1	0	0	0	1	0	1
gene_884	0	0	0	18	34	32	66	12	13	18	32
gene_8840	0	0	0	8	6	10	28	1	6	5	21
gene_8841	0	0	0	370	305	577	1342	214	149	289	757
gene_8842	0	0	0	0	0	0	0	0	0	0	0
gene_8843	0	0	0	1	1	0	1	0	0	0	2
gene_8844	0	0	0	9	4	1	10	7	0	3	4
gene_8845	0	0	0	9	11	24	71	11	15	4	44
gene_8846	0	0	0	7	12	4	21	1	1	3	10
gene_8847	0	0	0	10	11	14	34	3	4	6	11
gene_8848	0	0	0	9	18	15	19	5	2	6	12
gene_8849	0	0	0	1	3	4	8	1	2	2	2
gene_885	0	0	0	85	63	123	243	57	23	42	133
gene_8850	0	0	0	70	143	58	136	53	15	38	104
gene_8851	0	0	0	0	0	0	0	0	0	0	0
gene_8852	0	0	0	0	0	0	0	0	0	0	0
gene_8853	0	0	0	34	74	27	71	26	15	24	61
gene_8854	0	0	0	113	134	103	322	63	28	78	187
gene_8855	0	0	0	0	0	0	0	0	0	0	0
gene_8856	0	0	0	1	4	7	9	4	0	3	12
