GeneID	GGHNG	GGHNH	GGHNN	GGHNO	GGHNP	GGHNS	GGHNT	GGHNU	GGHNW	GGAZP	GGAZS	GGHNX
gene_6298	0	0	0	2	1	1	3	4	5	1	2	0
gene_6299	0	0	0	12	19	7	8	9	21	3	21	5
gene_63	0	0	0	3	6	0	0	4	2	0	4	1
gene_630	0	0	0	66	95	66	6	11	22	6	29	9
gene_6300	0	0	0	7	2	7	3	9	12	0	11	1
gene_6301	0	0	0	1	0	5	1	3	4	0	4	2
gene_6302	0	0	0	0	0	0	0	0	0	1	7	2
gene_6303	0	0	0	1	0	4	0	6	13	0	12	3
gene_6304	0	0	0	3	0	1	3	1	1	3	9	7
gene_6305	0	0	0	7	2	5	1	4	6	3	16	0
gene_6306	0	0	0	13	10	10	5	19	32	6	36	3
gene_6307	0	0	0	7	5	1	1	3	6	2	1	5
gene_6308	0	0	0	1	0	0	1	1	6	5	14	3
gene_6309	0	0	0	0	0	0	0	1	0	0	4	0
gene_631	0	0	0	3	0	0	0	0	0	0	0	0
gene_6310	0	0	0	10	9	5	18	35	34	7	63	18
gene_6311	0	0	0	1	2	0	8	2	6	1	4	4
gene_6312	0	0	0	35	29	11	14	25	31	9	56	18
gene_6313	0	0	0	1	0	2	0	0	1	0	0	0
gene_6314	0	0	0	73	74	58	250	277	464	112	1268	151
gene_6315	0	0	0	5	9	2	10	12	8	5	19	5
gene_6316	0	0	0	24	28	14	20	11	22	5	27	9
gene_6317	0	0	0	1	4	2	0	1	0	1	4	0
gene_6318	0	0	0	6	6	2	1	4	5	0	6	1
gene_6319	0	0	0	0	0	0	0	0	2	1	2	0
gene_632	0	0	0	0	0	0	0	1	1	0	0	0
gene_6320	0	0	0	37	30	26	26	42	59	15	78	16
gene_6321	0	0	0	3	2	3	4	5	4	2	1	2
gene_6322	0	0	0	15	17	9	11	12	11	9	15	6
gene_6323	0	0	0	18	16	4	5	10	23	6	24	7
gene_6324	0	0	0	13	9	10	16	15	26	4	54	15
gene_6325	0	0	0	85	72	44	42	57	54	25	104	31
gene_6326	0	0	0	15	8	14	11	14	18	1	28	7
gene_6327	0	0	0	36	44	25	32	51	51	12	84	18
gene_6328	0	0	0	4	1	2	2	12	6	4	7	1
gene_6329	0	0	0	5	3	1	5	8	10	1	9	1
gene_633	0	0	0	2	0	2	1	4	2	0	2	2
gene_6330	0	0	0	4	5	9	4	12	19	6	27	4
gene_6331	0	0	0	6	6	2	4	10	4	3	11	4
gene_6332	0	0	0	14	7	12	13	32	34	9	38	13
gene_6333	0	0	0	1	1	2	1	2	2	0	2	1
gene_6334	0	0	0	12	16	8	11	10	14	4	16	4
gene_6335	0	0	0	5	0	2	5	1	3	1	5	3
gene_6336	0	0	0	29	42	23	30	47	44	11	88	12
gene_6337	0	0	0	2	0	0	0	0	0	0	0	0
gene_6338	0	0	0	31	42	10	12	26	26	8	57	11
gene_6339	0	0	0	4	3	6	8	7	12	2	19	6
gene_634	0	0	0	0	0	0	0	0	0	0	0	0
gene_6340	0	0	0	5	12	3	3	15	3	4	13	4
gene_6341	0	0	0	0	0	0	0	0	0	0	0	0
gene_6342	0	0	0	0	0	0	0	0	0	0	0	0
gene_6343	0	0	0	0	2	2	2	5	7	3	2	1
gene_6344	0	0	0	4	2	3	9	4	7	5	11	1
gene_6345	0	0	0	15	20	11	11	24	21	5	24	11
gene_6346	0	0	0	24	17	7	11	23	10	7	27	12
gene_6347	0	0	0	16	9	2	3	5	8	1	14	0
gene_6348	0	0	0	3	1	1	4	3	6	1	2	3
gene_6349	0	0	0	30	23	22	12	24	31	13	43	11
gene_635	0	0	0	4	4	1	5	3	11	4	14	2
gene_6350	0	0	0	1	1	0	4	7	1	0	1	2
