GeneID	GCUXS	GCUXT	GCUXU	GCUXW	GCUXX	GCUXY	GCUXZ	GCUYA	GCUYB	GCUYC	GCUYG	GCUYH
gene_3253	0	0	0	22	12	12	12	13	4	5	1	1
gene_3254	0	0	0	9	6	12	15	5	4	0	2	5
gene_3255	0	0	0	1	0	0	1	0	0	2	0	0
gene_3256	0	0	0	3	5	5	7	3	10	0	0	0
gene_3257	0	0	0	89	42	88	68	34	38	34	7	44
gene_3258	0	0	0	53	29	43	59	26	31	26	4	31
gene_3259	0	0	0	18	24	26	21	7	4	5	2	8
gene_326	0	0	0	65	26	43	31	15	16	14	9	25
gene_3260	0	0	0	1	1	4	0	0	0	0	0	0
gene_3261	0	0	0	51	51	81	23	8	18	5	7	15
gene_3262	0	0	0	17	11	25	19	10	9	5	0	6
gene_3263	0	0	0	73	34	63	53	24	17	13	7	21
gene_3264	0	0	0	20	10	14	20	11	7	8	6	9
gene_3265	0	0	0	13	10	13	10	4	4	1	0	5
gene_3266	0	0	0	3	1	5	4	2	4	0	2	0
gene_3267	0	0	0	0	0	0	0	0	0	0	0	0
gene_3268	0	0	0	0	2	1	0	0	0	0	0	0
gene_3269	0	0	0	0	0	0	0	0	0	0	0	0
gene_327	0	0	0	15	9	10	16	3	11	5	5	4
gene_3270	0	0	0	0	0	0	0	0	0	0	0	0
gene_3271	0	0	0	0	0	0	0	0	0	0	0	0
gene_3272	0	0	0	0	0	0	0	0	0	0	0	0
gene_3273	0	0	0	0	0	0	0	0	0	0	0	0
gene_3274	0	0	0	0	0	0	0	0	0	0	0	0
gene_3275	0	0	0	0	0	0	0	1	0	0	0	0
gene_3276	0	0	0	0	0	0	0	0	0	0	0	0
gene_3277	0	0	0	0	1	0	0	0	0	0	0	0
gene_3278	0	0	0	0	0	2	0	0	0	0	0	0
gene_3279	0	0	0	0	0	0	0	0	0	0	0	0
gene_328	0	0	0	9	12	17	22	7	4	7	3	9
gene_3280	0	0	0	0	0	0	2	0	0	0	0	0
gene_3281	0	0	0	65	34	91	75	33	40	24	7	32
gene_3282	0	0	0	30	3	10	25	18	12	5	5	16
gene_3283	0	0	0	0	0	0	0	0	0	0	0	0
gene_3284	0	0	0	15	9	20	13	5	9	8	6	1
gene_3285	0	0	0	84	50	28	42	23	26	16	5	32
gene_3286	0	0	0	61	39	55	60	31	31	15	11	27
gene_3287	0	0	0	12	11	13	15	11	5	3	3	4
gene_3288	0	0	0	19	29	34	154	5	11	1	0	3
gene_3289	0	0	0	6	12	10	13	4	3	2	0	2
gene_329	0	0	0	30	25	46	26	14	13	6	5	18
gene_3290	0	0	0	1	1	5	2	1	1	0	2	1
gene_3291	0	0	0	36	14	37	22	14	24	12	2	14
gene_3292	0	0	0	0	0	0	22	15	8	3	2	27
gene_3293	0	0	0	30	13	22	32	14	28	7	12	20
gene_3294	0	0	0	15	5	10	39	17	10	7	1	17
gene_3295	0	0	0	0	0	0	0	0	0	0	0	0
