GeneID	GGABG	GGABH	GGABN	GGABO	GGABP	GGABS	GGABT	GGABU	GGABW	GGABX
gene_1092	0	0	0	9	3	0	4	24	4	7
gene_1093	0	0	0	24	1	0	0	16	12	12
gene_1094	0	0	0	0	0	0	0	0	0	0
gene_1095	0	0	0	5	0	0	1	2	0	4
gene_1096	0	0	0	7	5	0	0	10	0	5
gene_1097	0	0	0	5	0	0	0	3	2	0
gene_1098	0	0	1	18	3	3	2	30	4	22
gene_1099	0	0	0	181	3	24	26	181	56	137
gene_11	0	0	0	31	0	12	8	38	5	14
gene_110	0	0	0	14	1	1	3	16	4	13
gene_1100	0	0	0	47	0	8	8	39	12	18
gene_1101	0	0	0	122	8	35	20	130	32	64
gene_1102	0	0	0	0	0	0	0	2	0	0
gene_1103	0	0	0	54	0	1	2	27	6	4
gene_1104	0	0	0	4	0	0	0	3	0	4
gene_1105	0	0	0	13	0	7	3	9	1	18
gene_1106	0	0	0	24	5	2	3	22	8	19
gene_1107	0	0	0	6	0	1	1	6	1	4
gene_1108	0	0	0	13	1	2	0	17	5	10
gene_1109	0	0	0	48	2	15	7	53	9	23
gene_111	0	0	0	0	0	0	0	0	0	0
gene_1110	0	0	0	0	0	0	0	1	0	0
gene_1111	0	0	0	13	2	7	2	13	8	10
gene_1112	0	0	0	0	0	2	0	0	0	0
gene_1113	0	0	0	44	7	6	11	53	13	39
gene_1114	0	0	0	1	0	0	0	4	1	2
gene_1115	0	0	0	53	0	20	11	82	22	71
gene_1116	0	0	0	18	0	0	5	14	0	3
gene_1117	0	0	0	11	0	0	3	11	2	0
gene_1118	0	0	0	31	1	10	5	35	13	17
gene_1119	0	0	0	32	3	4	9	32	4	37
gene_112	0	0	0	0	0	0	0	0	0	0
gene_1120	0	0	0	79	10	10	21	84	30	56
gene_1121	0	0	0	0	0	0	0	0	0	0
gene_1122	0	0	0	0	0	0	0	0	0	0
gene_1123	0	0	0	55	1	15	11	67	19	66
gene_1124	0	0	0	6	0	8	3	16	5	7
gene_1125	0	0	0	13	3	3	2	13	4	8
gene_1126	0	0	0	7	0	9	0	19	6	5
gene_1127	0	0	0	11	0	0	0	6	3	3
gene_1128	0	0	0	61	1	13	9	22	14	26
gene_1129	0	0	0	1	0	1	1	16	0	1
gene_113	0	0	0	1	0	0	1	2	1	0
gene_1130	0	0	0	1	0	0	2	3	1	4
gene_1131	0	0	0	578	2	15	23	83	18	26
gene_1132	1	0	0	18	0	2	2	10	1	8
gene_1133	0	0	0	0	0	0	0	0	0	0
gene_1134	0	0	0	6	0	0	0	8	0	1
gene_1135	0	0	0	26	3	0	5	21	8	9
gene_1136	0	0	0	14	1	6	3	10	8	13
gene_1137	0	0	0	6	0	3	0	9	0	7
gene_1138	0	0	0	18	1	2	6	5	1	6
gene_1139	0	0	0	0	0	0	0	1	0	0
gene_114	0	0	0	88	3	5	7	63	13	32
gene_1140	0	0	0	4	0	0	0	5	0	0
gene_1141	0	0	0	19	4	2	3	30	8	5
gene_1142	0	0	0	12	0	5	0	21	8	7
gene_1143	0	0	0	13	5	10	7	28	5	3
gene_1144	0	0	0	10	7	0	3	24	12	12
gene_1145	0	0	0	0	0	0	0	0	0	0
gene_1146	0	0	0	1	0	2	3	6	0	5
gene_1147	0	0	0	0	0	0	0	0	0	0
gene_1148	0	0	0	0	0	0	0	0	0	0
gene_1149	0	0	0	19	0	3	1	26	10	16
gene_115	0	0	0	8	0	1	3	11	1	11
gene_1150	0	0	0	8	0	0	1	5	2	3
gene_1151	0	0	0	20	0	2	7	16	2	1
gene_1152	0	0	0	7	1	0	3	12	5	6
