GeneID	GGHNY	GGHNZ	GGHOA	GGHOH	GGHON	GGHOO	GGHOP	GGHOS	GGHOT	GGHOB	GGHOC	GGHOG
gene_4984	0	0	0	8	0	1	2	6	6	1	2	5
gene_4985	0	0	0	3	0	0	0	0	1	1	0	1
gene_4986	0	0	0	0	0	0	0	0	0	0	0	0
gene_4987	0	0	0	1	1	1	0	0	5	1	0	1
gene_4988	0	0	0	41	29	14	5	22	30	9	8	8
gene_4989	0	0	0	19	17	9	0	13	18	5	7	12
gene_499	0	0	0	15	12	2	0	6	5	0	1	8
gene_4990	0	0	0	11	3	1	1	11	9	1	5	2
gene_4991	0	0	0	77	34	28	11	76	106	23	32	60
gene_4992	0	0	0	22	10	6	4	11	11	6	6	12
gene_4993	0	0	0	20	11	4	2	18	26	5	6	15
gene_4994	0	0	0	43	20	16	9	33	29	6	11	15
gene_4995	0	0	0	31	24	11	1	29	34	2	11	12
gene_4996	0	0	0	15	10	5	2	12	15	2	2	18
gene_4997	0	0	0	80	34	31	10	60	45	6	12	36
gene_4998	0	0	0	2	3	3	1	11	8	1	2	8
gene_4999	0	0	0	2	0	0	0	3	3	0	1	0
gene_5	0	0	0	50	34	26	15	77	80	6	29	35
gene_50	0	0	0	18	4	7	0	17	24	1	4	8
gene_500	0	0	0	403	235	77	22	149	222	59	72	138
gene_5000	0	0	0	9	1	3	1	1	11	1	0	0
gene_5001	0	0	0	23	19	14	2	30	20	5	3	8
gene_5002	0	0	0	19	7	13	2	6	7	1	3	2
gene_5003	0	0	0	0	0	0	0	1	0	0	0	0
gene_5004	0	0	0	0	0	0	0	0	2	0	0	0
gene_5005	0	0	0	2	5	3	2	3	9	2	2	7
gene_5006	0	0	0	1	0	0	0	0	0	0	0	0
gene_5007	0	0	0	15	9	2	1	11	16	4	1	7
gene_5008	0	0	0	55	27	21	9	60	64	24	23	46
gene_5009	0	0	0	5	3	0	1	7	4	0	0	1
gene_501	0	0	0	34	8	12	10	42	27	10	16	25
gene_5010	0	0	0	54	28	20	9	72	75	13	22	29
gene_5011	0	0	0	0	0	0	0	0	1	1	0	0
gene_5012	0	0	0	0	0	2	0	0	3	0	1	1
gene_5013	0	0	0	59	31	12	4	51	56	12	18	21
gene_5014	0	0	0	25	22	11	2	18	30	1	14	8
gene_5015	0	0	0	4	2	1	0	0	2	0	3	6
gene_5016	0	0	0	25	9	8	5	12	17	3	9	13
gene_5017	0	0	0	91	28	27	1	24	50	5	19	14
gene_5018	0	0	0	97	24	23	8	59	78	18	24	57
gene_5019	0	0	0	30	12	15	1	18	25	0	6	21
gene_502	0	0	0	7	0	4	1	8	7	5	1	3
gene_5020	0	0	0	50	18	18	9	47	58	7	15	25
gene_5021	0	0	0	100	33	45	8	50	83	9	13	47
gene_5022	0	0	0	112	86	49	6	39	69	4	18	36
gene_5023	0	0	0	128	112	33	11	95	92	12	50	51
gene_5024	0	0	0	58	28	14	3	29	49	3	14	18
gene_5025	0	0	0	12	2	3	2	5	14	3	2	7
gene_5026	0	0	0	21	10	2	3	18	20	2	2	14
gene_5027	0	0	0	0	0	0	0	0	0	0	0	0
gene_5028	0	0	0	3	0	2	1	2	2	0	0	1
gene_5029	0	0	0	50	35	12	4	54	43	11	9	31
gene_503	0	0	0	1	4	11	0	6	5	2	1	3
gene_5030	0	0	0	14	6	8	2	8	12	6	4	4
gene_5031	0	0	0	22	4	4	2	20	21	4	5	27
gene_5032	0	0	0	83	36	29	4	47	52	10	15	28
gene_5033	0	0	0	5	1	3	1	8	8	1	5	3
gene_5034	0	0	0	6	0	2	2	4	7	1	1	3
gene_5035	0	0	0	0	0	0	0	0	0	0	0	0
gene_5036	0	0	0	0	0	0	0	0	0	0	0	0
gene_5037	0	0	0	0	0	0	0	0	0	0	0	0
gene_5038	0	0	0	5	1	2	0	3	4	0	0	2
gene_5039	0	0	0	2	5	1	0	4	2	1	2	0
gene_504	0	0	0	27	20	18	3	29	28	4	5	12
gene_5040	0	0	0	17	10	2	3	16	33	1	9	7
gene_5041	0	0	0	65	41	20	4	28	35	8	8	19
gene_5042	0	0	0	16	16	6	1	11	12	2	5	12
gene_5043	0	0	0	2	1	5	0	6	9	0	0	6
gene_5044	0	0	0	17	8	11	2	22	23	7	2	9
gene_5045	0	0	0	0	1	0	0	2	0	0	1	2
gene_5046	0	0	0	6	2	2	0	5	1	0	0	4
gene_5047	0	0	0	5	2	2	1	5	4	0	1	3
gene_5048	0	0	0	126	61	66	7	74	87	13	27	44
gene_5049	0	0	0	7	6	2	0	0	2	0	0	7
gene_505	0	0	0	21	4	16	5	46	34	13	17	26
gene_5050	0	0	0	13	9	12	0	7	9	7	3	6
gene_5051	0	0	0	0	0	0	0	0	0	1	0	0
gene_5052	0	0	0	12	7	13	0	8	27	0	1	6
gene_5053	0	0	0	10	3	7	1	9	7	1	2	2
